"learn_num","learn_title","learn_teacher","image_link","learn_link","price","sale_price"
1,"면접을 부르는 '개발자 이력서' 쓰기","Dev Secret","https://cdn.inflearn.com/public/courses/326615/cover/8e5d2a12-23e0-4cd3-a736-8437a81d3625","https://www.inflearn.com/course/%EB%A9%B4%EC%A0%91-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%9D%B4%EB%A0%A5%EC%84%9C",38500,55000
2,"데이터 분석을 위한 파이썬: 입문부터 꿀팁까지","데이터리안","https://cdn.inflearn.com/public/courses/326564/cover/adc58c73-be2a-471d-8c3e-50b2881bebe6/326564-eng.png","https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88",26950,38500
3,"비전공자를 위한 넓고 얇은 IT 지식 & 나의 개발 유형 알아보기! <M.B.I.T>","제주코딩베이스캠프","https://cdn.inflearn.com/public/courses/326514/cover/22caf762-a466-47fd-8d21-1f70ee2d91aa","https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C-%EC%9C%A0%ED%98%95-%ED%85%8C%EC%8A%A4%ED%8A%B8",13860,19800
4,"엑셀 시작하기 : EXCEL 입문 (Inflearn Original)","인프런","https://cdn.inflearn.com/public/courses/326489/cover/6bc2da6b-d7a9-46f9-932c-46cf8deba0af","https://www.inflearn.com/course/%EC%97%91%EC%85%80-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90",38500,55000
5,"Zapier로 노코드 업무자동화, 게으르지만 일 잘하고픈 분들을 위한 최고의 방법","그로스쿨","https://cdn.inflearn.com/public/courses/326400/cover/14e14a5e-fd28-437d-bd46-52911f12623e","https://www.inflearn.com/course/%EC%9E%AC%ED%94%BC%EC%96%B4-%EC%97%85%EB%AC%B4%EC%9E%90%EB%8F%99%ED%99%94",30800,44000
6,"자바스크립트 알고리즘 문제풀이(코딩테스트 대비)","김태원","https://cdn.inflearn.com/public/courses/326377/cover/06b7fdbf-e58c-4289-b17d-bffddb67e999","https://www.inflearn.com/course/%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4",46200,66000
7,"모든 개발자를 위한 HTTP 웹 기본 지식","김영한","https://cdn.inflearn.com/public/course-326277-cover/7cd7c9ec-706d-4d72-a52b-134853963d61","https://www.inflearn.com/course/http-%EC%9B%B9-%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC",30800,44000
8,"비전공자를 위한 진짜 입문 올인원 개발 클래스","그랩","https://cdn.inflearn.com/public/courses/326174/cover/b0536120-7de3-4aa8-8266-97cf3881e87d","https://www.inflearn.com/course/%EC%98%AC%EC%9D%B8%EC%9B%90-%EA%B0%9C%EB%B0%9C%ED%81%B4%EB%9E%98%EC%8A%A4",100100,143000
9,"[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part1: C++ 프로그래밍 입문","Rookiss","https://cdn.inflearn.com/public/courses/326162/cover/fe5368b1-e25b-4f7c-a670-b775f9e429c6","https://www.inflearn.com/course/%EC%96%B8%EB%A6%AC%EC%96%BC-3d-mmorpg-1",77000,110000
10,"실전 인공지능으로 이어지는 딥러닝 개념 잡기","딥러닝호형","https://cdn.inflearn.com/public/course-326101-cover/2e05ecb7-4f05-4194-a1f5-036c1f9a2445","https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B0%9C%EB%85%90",50050,71500
